artifact_id	disposition	source_path	destination_path	reviewed_head	source_sha256	destination_sha256	retention_location
artifact-001	excluded-evidence	reviewed-source/artifact-001		2518058073348f66e04074c9b38f768924935b3a	868bab0eb2e9436b742ee6e66dd2e43d57339bb288feb39fe14631f49ddb8d3f		orgs/ascendops/ops/pmagents-evidence/source-3ea772ff/scenario1/CONTRACT2-REPORT.md
artifact-002	excluded-evidence	reviewed-source/artifact-002		2518058073348f66e04074c9b38f768924935b3a	9fff97dbc8ee8ea63fe42d94cadf35ce6ac02ad781e2af4ee84d2221ca09395c		orgs/ascendops/ops/pmagents-evidence/source-3ea772ff/scenario1/CONTRACT3-REPORT.md
artifact-003	excluded-evidence	reviewed-source/artifact-003		2518058073348f66e04074c9b38f768924935b3a	73d3df72820cee9977dc74ef0fd029aaed99d648e3b33bed20b94d306d6e1137		orgs/ascendops/ops/pmagents-evidence/source-3ea772ff/scenario1/CONVERSION-QA.md
artifact-004	included-product	reviewed-source/artifact-004	editions/maintenance/answers-format.md	2518058073348f66e04074c9b38f768924935b3a	5876ad6ffa0ecd0c0355c90f34d39b83afb7aa722d049176c585cdb7f1bb12b5	b472963c2d239c25bea2ed6ebcab5bcb6cc97f1e2b69aba087565074b05b2634	
artifact-005	included-product	reviewed-source/artifact-005	editions/maintenance/configure_agent.py	2518058073348f66e04074c9b38f768924935b3a	0540ea08aa8d47ecb1aebbb7f51db85c5a67ab252172804e9ba24e56c2403551	0540ea08aa8d47ecb1aebbb7f51db85c5a67ab252172804e9ba24e56c2403551	
artifact-006	excluded-evidence	reviewed-source/artifact-006		2518058073348f66e04074c9b38f768924935b3a	ccb47b627abafa5b2deeb03fc4cc470b6340b2be48f450696d41afc5af5966e0		orgs/ascendops/ops/pmagents-evidence/source-3ea772ff/scenario1/owner-walkthrough-package/MANIFEST.sha256
artifact-007	excluded-evidence	reviewed-source/artifact-007		2518058073348f66e04074c9b38f768924935b3a	5af8b40173546f73d5f004a5f0df457ff7ab48ce5fe79513e3965e9acbea55f2		orgs/ascendops/ops/pmagents-evidence/source-3ea772ff/scenario1/owner-walkthrough-package/README.md
artifact-008	excluded-evidence	reviewed-source/artifact-008		2518058073348f66e04074c9b38f768924935b3a	02833048eeb3dbbb059f6d1b32840fb8e08b83f1480ea4d74b9c21ec82c628f5		orgs/ascendops/ops/pmagents-evidence/source-3ea772ff/scenario1/owner-walkthrough-package/RUNBOOK.md
artifact-009	excluded-evidence	reviewed-source/artifact-009		2518058073348f66e04074c9b38f768924935b3a	a4b3a67325fcc4a2db69721ed28fd929ad1e17053b614b6236b017719cd4198f		orgs/ascendops/ops/pmagents-evidence/source-3ea772ff/scenario1/owner-walkthrough-package/evidence/ascend-pass1.share-safe.txt
artifact-010	excluded-evidence	reviewed-source/artifact-010		2518058073348f66e04074c9b38f768924935b3a	9fbdf8aa66916bb52070ac3ab370084bf7a1a01f310165acb680b2715489576e		orgs/ascendops/ops/pmagents-evidence/source-3ea772ff/scenario1/owner-walkthrough-package/evidence/ascend-pass2.share-safe.txt
artifact-011	excluded-evidence	reviewed-source/artifact-011		2518058073348f66e04074c9b38f768924935b3a	ae03cab79627931d12063afb43da512c85f170570e4c56da25750f2191fdaa0a		orgs/ascendops/ops/pmagents-evidence/source-3ea772ff/scenario1/owner-walkthrough-package/evidence/four-artifact-display.share-safe.txt
artifact-012	excluded-evidence	reviewed-source/artifact-012		2518058073348f66e04074c9b38f768924935b3a	2ec439345cbf2083bd857f46acf39e081bdd5b6858bc15525a6a183fb6761783		orgs/ascendops/ops/pmagents-evidence/source-3ea772ff/scenario1/owner-walkthrough-package/library/coordinator-scope-playbook.md
